"","ENTREZID","SYMBOL","GENENAME"
"8777","100033439","SNORD116-27","small nucleolar RNA, C/D box 116-27"
"8778","100033820","SNORD116-28","small nucleolar RNA, C/D box 116-28"
"8779","100033821","SNORD116-29","small nucleolar RNA, C/D box 116-29"
"8780","100873856","SNORD116-30","small nucleolar RNA, C/D box 116-30"
"8781","3653","IPW","imprinted in Prader-Willi syndrome"
"8782","145624","PWAR1","Prader Willi/Angelman region RNA 1"
"8783","338433","SNORD115-1","small nucleolar RNA, C/D box 115-1"
"8784","100033437","SNORD115-2","small nucleolar RNA, C/D box 115-2"
"8785","100033440","SNORD115-3","small nucleolar RNA, C/D box 115-3"
"8786","100033441","SNORD115-4","small nucleolar RNA, C/D box 115-4"
"8787","100033442","SNORD115-5","small nucleolar RNA, C/D box 115-5"
"8788","100033443","SNORD115-6","small nucleolar RNA, C/D box 115-6"
"8789","100033444","SNORD115-7","small nucleolar RNA, C/D box 115-7"
"8790","100033445","SNORD115-8","small nucleolar RNA, C/D box 115-8"
"8791","100033446","SNORD115-9","small nucleolar RNA, C/D box 115-9"
"8792","100033447","SNORD115-10","small nucleolar RNA, C/D box 115-10"
"8793","100033448","SNORD115-11","small nucleolar RNA, C/D box 115-11"
"8794","100033449","SNORD115-12","small nucleolar RNA, C/D box 115-12"
"8795","100033450","SNORD115-13","small nucleolar RNA, C/D box 115-13"
"8796","100033451","SNORD115-14","small nucleolar RNA, C/D box 115-14"
"8797","100033453","SNORD115-15","small nucleolar RNA, C/D box 115-15"
"8798","100033454","SNORD115-16","small nucleolar RNA, C/D box 115-16"
"8799","100033455","SNORD115-17","small nucleolar RNA, C/D box 115-17"
"8800","100033456","SNORD115-18","small nucleolar RNA, C/D box 115-18"
"8801","100033458","SNORD115-19","small nucleolar RNA, C/D box 115-19"
"8802","100033460","SNORD115-20","small nucleolar RNA, C/D box 115-20"
"8803","100033603","SNORD115-21","small nucleolar RNA, C/D box 115-21"
"8804","100033799","SNORD115-22","small nucleolar RNA, C/D box 115-22"
"8805","347745","PWAR4","Prader Willi/Angelman region RNA 4"
"8806","100033800","SNORD115-23","small nucleolar RNA, C/D box 115-23"
"8807","100036563","SNORD115-24","small nucleolar RNA, C/D box 115-24"
"8808","100033801","SNORD115-25","small nucleolar RNA, C/D box 115-25"
"8809","100033802","SNORD115-26","small nucleolar RNA, C/D box 115-26"
"8810","100036564","SNORD115-27","small nucleolar RNA, C/D box 115-27"
"8811","100036565","SNORD115-28","small nucleolar RNA, C/D box 115-28"
"8812","100033803","SNORD115-29","small nucleolar RNA, C/D box 115-29"
"8813","100033804","SNORD115-30","small nucleolar RNA, C/D box 115-30"
"8814","100033805","SNORD115-31","small nucleolar RNA, C/D box 115-31"
"8815","100033806","SNORD115-32","small nucleolar RNA, C/D box 115-32"
"8816","100033807","SNORD115-33","small nucleolar RNA, C/D box 115-33"
"8817","100033808","SNORD115-34","small nucleolar RNA, C/D box 115-34"
"8818","100033809","SNORD115-35","small nucleolar RNA, C/D box 115-35"
"8819","100033810","SNORD115-36","small nucleolar RNA, C/D box 115-36"
"8820","100033811","SNORD115-37","small nucleolar RNA, C/D box 115-37"
"8821","100033812","SNORD115-38","small nucleolar RNA, C/D box 115-38"
"8822","100033813","SNORD115-39","small nucleolar RNA, C/D box 115-39"
"8823","100033814","SNORD115-40","small nucleolar RNA, C/D box 115-40"
"8824","100033815","SNORD115-41","small nucleolar RNA, C/D box 115-41"
"8825","100033816","SNORD115-42","small nucleolar RNA, C/D box 115-42"
"8826","100033817","SNORD115-43","small nucleolar RNA, C/D box 115-43"
"8827","100033818","SNORD115-44","small nucleolar RNA, C/D box 115-44"
"8828","100036566","SNORD115-45","small nucleolar RNA, C/D box 115-45"
"8829","100873857","SNORD115-46","small nucleolar RNA, C/D box 115-46"
"8830","100036567","SNORD115-47","small nucleolar RNA, C/D box 115-47"
"8831","100033822","SNORD115-48","small nucleolar RNA, C/D box 115-48"
"8832","338429","SNORD109B","small nucleolar RNA, C/D box 109B"
"8833","7337","UBE3A","ubiquitin protein ligase E3A"
"8834","57194","ATP10A","ATPase phospholipid transporting 10A (putative)"
"8835","100616474","MIR4715","microRNA 4715"
"8836","100128714","LINC02346","long intergenic non-protein coding RNA 2346"
"8837","100189063","TRE-TTC2-2","tRNA-Glu (anticodon TTC) 2-2"
"8838","503519","LINC00929","long intergenic non-protein coding RNA 929"
"8839","2562","GABRB3","gamma-aminobutyric acid type A receptor beta3 subunit"
"8840","2558","GABRA5","gamma-aminobutyric acid type A receptor alpha5 subunit"
"8841","2567","GABRG3","gamma-aminobutyric acid type A receptor gamma3 subunit"
"8842","101928869","GABRG3-AS1","GABRG3 antisense RNA 1"
"8843","4948","OCA2","OCA2 melanosomal transmembrane protein"
"8844","8924","HERC2","HECT and RLD domain containing E3 ubiquitin protein ligase 2"
"8845","645202","LOC645202","golgin A6 family-like"
"8846","100132565","GOLGA8F","golgin A8 family member F"
"8847","100616228","MIR4509-2","microRNA 4509-2"
"8848","100616382","MIR4509-3","microRNA 4509-3"
"8849","283768","GOLGA8G","golgin A8 family member G"
"8850","100996738","HERC2P11","hect domain and RLD 2 pseudogene 11"
"8851","440248","HERC2P9","hect domain and RLD 2 pseudogene 9"
"8852","653720","GOLGA8M","golgin A8 family member M"
"8853","440253","WHAMMP2","WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2"
"8854","100289656","LOC100289656","Dexi homolog (mouse) pseudogene"
"8855","646278","PDCD6IPP2","PDCD6IP pseudogene 2"
"8856","728310","GOLGA6L7","golgin A6 family like 7"
"8857","321","APBA2","amyloid beta precursor protein binding family A member 2"
"8858","23359","FAM189A1","family with sequence similarity 189 member A1"
"8859","56160","NSMCE3","NSE3 homolog, SMC5-SMC6 complex component"
"8860","7082","TJP1","tight junction protein 1"
"8861","653073","GOLGA8J","golgin A8 family member J"
"8862","89837","ULK4P3","ULK4 pseudogene 3"
"8863","653075","GOLGA8T","golgin A8 family member T"
"8864","26082","LINC02249","long intergenic non-protein coding RNA 2249"
"8865","89832","CHRFAM7A","CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion"
"8866","101059918","GOLGA8R","golgin A8 family member R"
"8867","101060569",NA,NA
"8868","728498","GOLGA8H","golgin A8 family member H"
"8869","101927579","DNM1P50","dynamin 1 pseudogene 50"
"8870","100288380","ULK4P2","ULK4 pseudogene 2"
"8871","89839","ARHGAP11B","Rho GTPase activating protein 11B"
"8872","100288637","LOC100288637","OTU deubiquitinase 7A pseudogene"
"8873","105370748",NA,NA
"8874","390561","HERC2P10","hect domain and RLD 2 pseudogene 10"
"8875","22909","FAN1","FANCD2 and FANCI associated nuclease 1"
"8876","54893","MTMR10","myotubularin related protein 10"
"8877","4308","TRPM1","transient receptor potential cation channel subfamily M member 1"
"8878","406993","MIR211","microRNA 211"
"8879","102725022","LINC02352","long intergenic non-protein coding RNA 2352"
"8880","283710","LOC283710","uncharacterized LOC283710"
"8881","51621","KLF13","Kruppel like factor 13"
"8882","105370939","LOC105370939","uncharacterized LOC105370939"
"8883","161725","OTUD7A","OTU deubiquitinase 7A"
"8884","105370940","LOC105370940","uncharacterized LOC105370940"
"8885","1139","CHRNA7","cholinergic receptor nicotinic alpha 7 subunit"
"8886","653125","GOLGA8K","golgin A8 family member K"
"8887","89838","ULK4P1","ULK4 pseudogene 1"
"8888","728047","GOLGA8O","golgin A8 family member O"
"8889","100653133","LOC100653133","golgin subfamily A member 6-like protein 1"
"8890","100288615","WHAMMP1","WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 1"
"8891","100996255","LINC02256","long intergenic non-protein coding RNA 2256"
"8892","101928042","LOC101928042","uncharacterized LOC101928042"
"8893","643699","GOLGA8N","golgin A8 family member N"
"8894","9824","ARHGAP11A","Rho GTPase activating protein 11A"
"8895","6447","SCG5","secretogranin V"
"8896","26585","GREM1","gremlin 1, DAN family BMP antagonist"
"8897","100131315","LOC100131315","uncharacterized LOC100131315"
"8898","342184","FMN1","formin 1"
"8899","100652857","TMCO5B","transmembrane and coiled-coil domains 5B (pseudogene)"
"8900","101928134","LOC101928134","uncharacterized LOC101928134"
"8901","6263","RYR3","ryanodine receptor 3"
"8902","57099","AVEN","apoptosis and caspase activation inhibitor"
"8903","1133","CHRM5","cholinergic receptor muscarinic 5"
"8904","56851","EMC7","ER membrane protein complex subunit 7"
"8905","161779","PGBD4","piggyBac transposable element derived 4"
"8906","79768","KATNBL1","katanin regulatory subunit B1 like 1"
"8907","51234","EMC4","ER membrane protein complex subunit 4"
"8908","9990","SLC12A6","solute carrier family 12 member 6"
"8909","55505","NOP10","NOP10 ribonucleoprotein"
"8910","256646","NUTM1","NUT midline carcinoma family member 1"
"8911","254531","LPCAT4","lysophosphatidylcholine acyltransferase 4"
"8912","23015","GOLGA8A","golgin A8 family member A"
"8913","100302160","MIR1233-1","microRNA 1233-1"
"8914","440270","GOLGA8B","golgin A8 family member B"
"8915","100422845","MIR1233-2","microRNA 1233-2"
"8916","57369","GJD2","gap junction protein delta 2"
"8917","101928174","LOC101928174","uncharacterized LOC101928174"
"8918","70","ACTC1","actin alpha cardiac muscle 1"
"8919","9716","AQR","aquarius intron-binding spliceosomal factor"
"8920","54989","ZNF770","zinc finger protein 770"
"8921","723972","ANP32AP1","acidic nuclear phosphoprotein 32 family member A pseudogene 1"
"8922","89978","DPH6","diphthamine biosynthesis 6"
"8923","100500904","MIR3942","microRNA 3942"
"8924","100507466","DPH6-DT","DPH6 divergent transcript"
"8925","100616293","MIR4510","microRNA 4510"
"8926","84529","C15orf41","chromosome 15 open reading frame 41"
"8927","161635","CSNK1A1P1","casein kinase 1 alpha 1 pseudogene 1"
"8928","145845","LOC145845","uncharacterized LOC145845"
"8929","4212","MEIS2","Meis homeobox 2"
"8930","102466875","MIR8063","microRNA 8063"
"8931","145942","TMCO5A","transmembrane and coiled-coil domains 5A"
"8932","101928227","LINC02345","long intergenic non-protein coding RNA 2345"
"8933","161742","SPRED1","sprouty related EVH1 domain containing 1"
"8934","283742","FAM98B","family with sequence similarity 98 member B"
"8935","10125","RASGRP1","RAS guanyl releasing protein 1"
"8936","400359","LINC02694","long intergenic non-protein coding RNA 2694"
"8937","400360","C15orf54","chromosome 15 open reading frame 54 (putative)"
"8938","7057","THBS1","thrombospondin 1"
"8939","161835","FSIP1","fibrous sheath interacting protein 1"
"8940","105370941","LOC105370941","uncharacterized LOC105370941"
"8941","11245","GPR176","G protein-coupled receptor 176"
"8942","440275","EIF2AK4","eukaryotic translation initiation factor 2 alpha kinase 4"
"8943","6727","SRP14","signal recognition particle 14"
"8944","100131089","SRP14-AS1","SRP14 antisense RNA1 (head to head)"
"8945","90427","BMF","Bcl2 modifying factor"
"8946","701","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B"
"8947","56924","PAK6","p21 (RAC1) activated kinase 6"
"8948","644809","C15orf56","chromosome 15 open reading frame 56"
"8949","100131244","ANKRD63","ankyrin repeat domain 63"
"8950","5330","PLCB2","phospholipase C beta 2"
"8951","100505573","INAFM2","InaF motif containing 2"
"8952","388115","CCDC9B","coiled-coil domain containing 9B"
"8953","644844","PHGR1","proline, histidine and glycine rich 1"
"8954","85455","DISP2","dispatched RND transporter family member 2"
"8955","90417","KNSTRN","kinetochore localized astrin (SPAG5) binding protein"
"8956","3712","IVD","isovaleryl-CoA dehydrogenase"
"8957","22893","BAHD1","bromo adjacent homology domain containing 1"
"8958","113189","CHST14","carbohydrate sulfotransferase 14"
"8959","90416","CCDC32","coiled-coil domain containing 32"
"8960","359821","MRPL42P5","mitochondrial ribosomal protein L42 pseudogene 5"
"8961","27079","RPUSD2","RNA pseudouridine synthase domain containing 2"
"8962","100189229","TRS-GCT4-2","tRNA-Ser (anticodon GCT) 4-2"
"8963","57082","KNL1","kinetochore scaffold 1"
"8964","100505648","RAD51-AS1","RAD51 antisense RNA 1"
"8965","5888","RAD51","RAD51 recombinase"
"8966","55177","RMDN3","regulator of microtubule dynamics 3"
"8967","2644","GCHFR","GTP cyclohydrolase I feedback regulator"
"8968","55192","DNAJC17","DnaJ heat shock protein family (Hsp40) member C17"
"8969","643338","C15orf62","chromosome 15 open reading frame 62"
"8970","84936","ZFYVE19","zinc finger FYVE-type containing 19"
"8971","54866","PPP1R14D","protein phosphatase 1 regulatory inhibitor subunit 14D"
"8972","6692","SPINT1","serine peptidase inhibitor, Kunitz type 1"
"8973","171177","RHOV","ras homolog family member V"
"8974","57617","VPS18","VPS18 core subunit of CORVET and HOPS complexes"
"8975","105370943","LOC105370943","uncharacterized LOC105370943"
"8976","54567","DLL4","delta like canonical Notch ligand 4"
"8977","79094","CHAC1","ChaC glutathione specific gamma-glutamylcyclotransferase 1"
"8978","54617","INO80","INO80 complex ATPase subunit"
"8979","161829","EXD1","exonuclease 3'-5' domain containing 1"
"8980","11261","CHP1","calcineurin like EF-hand protein 1"
"8981","729082","OIP5-AS1","OIP5 antisense RNA 1"
"8982","11339","OIP5","Opa interacting protein 5"
"8983","51203","NUSAP1","nucleolar and spindle associated protein 1"
"8984","51103","NDUFAF1","NADH:ubiquinone oxidoreductase complex assembly factor 1"
"8985","23168","RTF1","RTF1 homolog, Paf1/RNA polymerase II complex component"
"8986","3706","ITPKA","inositol-trisphosphate 3-kinase A"
"8987","4058","LTK","leukocyte receptor tyrosine kinase"
"8988","26015","RPAP1","RNA polymerase II associated protein 1"
"8989","7301","TYRO3","TYRO3 protein tyrosine kinase"
"8990","23269","MGA","MAX dimerization protein MGA"
"8991","693211","MIR626","microRNA 626"
"8992","23005","MAPKBP1","mitogen-activated protein kinase binding protein 1"
"8993","100137047","JMJD7","jumonji domain containing 7"
"8994","8681","JMJD7-PLA2G4B","JMJD7-PLA2G4B readthrough"
"8995","100137049","PLA2G4B","phospholipase A2 group IVB"
"8996","51332","SPTBN5","spectrin beta, non-erythrocytic 5"
"8997","100423013","MIR4310","microRNA 4310"
"8998","30844","EHD4","EH domain containing 4"
"8999","101928363","EHD4-AS1","EHD4 antisense RNA 1"
"9000","101928388","PLA2G4E-AS1","PLA2G4E antisense RNA 1"
"9001","123745","PLA2G4E","phospholipase A2 group IVE"
"9002","283748","PLA2G4D","phospholipase A2 group IVD"
"9003","255189","PLA2G4F","phospholipase A2 group IVF"
"9004","23339","VPS39","VPS39 subunit of HOPS complex"
"9005","693212","MIR627","microRNA 627"
"9006","25963","TMEM87A","transmembrane protein 87A"
"9007","2595","GANC","glucosidase alpha, neutral C"
"9008","825","CAPN3","calpain 3"
"9009","64397","ZNF106","zinc finger protein 106"
"9010","8773","SNAP23","synaptosome associated protein 23"
"9011","255252","LRRC57","leucine rich repeat containing 57"
"9012","55142","HAUS2","HAUS augmin like complex subunit 2"
"9013","57519","STARD9","StAR related lipid transfer domain containing 9"
"9014","146059","CDAN1","codanin 1"
"9015","146057","TTBK2","tau tubulin kinase 2"
"9016","197131","UBR1","ubiquitin protein ligase E3 component n-recognin 1"
"9017","80021","TMEM62","transmembrane protein 62"
"9018","23582","CCNDBP1","cyclin D1 binding protein 1"
"9019","2038","EPB42","erythrocyte membrane protein band 4.2"
"9020","9333","TGM5","transglutaminase 5"
"9021","116179","TGM7","transglutaminase 7"
"9022","9836","LCMT2","leucine carboxyl methyltransferase 2"
"9023","161823","ADAL","adenosine deaminase like"
"9024","146050","ZSCAN29","zinc finger and SCAN domain containing 29"
"9025","27229","TUBGCP4","tubulin gamma complex associated protein 4"
"9026","7158","TP53BP1","tumor protein p53 binding protein 1"
"9027","4130","MAP1A","microtubule associated protein 1A"
"9028","9677","PPIP5K1","diphosphoinositol pentakisphosphate kinase 1"
"9029","1159","CKMT1B","creatine kinase, mitochondrial 1B"
"9030","161497","STRC","stereocilin"
"9031","117155","CATSPER2","cation channel sperm associated 2"
"9032","548596","CKMT1A","creatine kinase, mitochondrial 1A"
"9033","440278","CATSPER2P1","cation channel sperm associated 2 pseudogene 1"
"9034","2923","PDIA3","protein disulfide isomerase family A member 3"
"9035","80237","ELL3","elongation factor for RNA polymerase II 3"
"9036","10169","SERF2","small EDRK-rich factor 2"
"9037","100529067","SERF2-C15ORF63","SERF2-C15orf63 readthrough"
"9038","100302254","MIR1282","microRNA 1282"
"9039","619189","SERINC4","serine incorporator 4"
"9040","25764","HYPK","huntingtin interacting protein K"
"9041","4236","MFAP1","microfibril associated protein 1"
"9042","79968","WDR76","WD repeat domain 76"
"9043","84978","FRMD5","FERM domain containing 5"
"9044","728758","PIN4P1","peptidylprolyl cis/trans isomerase, NIMA-interacting 4 pseudogene 1"
"9045","113201","CASC4","cancer susceptibility 4"
"9046","51496","CTDSPL2","CTD small phosphatase like 2"
"9047","645212","EIF3J-DT","EIF3J divergent transcript"
"9048","8669","EIF3J","eukaryotic translation initiation factor 3 subunit J"
"9049","80208","SPG11","SPG11 vesicle trafficking associated, spatacsin"
"9050","197135","PATL2","PAT1 homolog 2"
"9051","567","B2M","beta-2-microglobulin"
"9052","100419583","LOC100419583","ring finger protein 4 pseudogene"
"9053","140691","TRIM69","tripartite motif containing 69"
"9054","145645","TERB2","telomere repeat binding bouquet formation protein 2"
"9055","6652","SORD","sorbitol dehydrogenase"
"9056","50506","DUOX2","dual oxidase 2"
"9057","405753","DUOXA2","dual oxidase maturation factor 2"
"9058","90527","DUOXA1","dual oxidase maturation factor 1"
"9059","53905","DUOX1","dual oxidase 1"
"9060","90525","SHF","Src homology 2 domain containing F"
"9061","100188986","TRH-GTG1-7","tRNA-His (anticodon GTG) 1-7"
"9062","100188988","TRH-GTG1-8","tRNA-His (anticodon GTG) 1-8"
"9063","100189065","TRH-GTG1-9","tRNA-His (anticodon GTG) 1-9"
"9064","105369153",NA,NA
"9065","101928414","LOC101928414","uncharacterized LOC101928414"
"9066","9153","SLC28A2","solute carrier family 28 member 2"
"9067","2628","GATM","glycine amidinotransferase"
"9068","79029","SPATA5L1","spermatogenesis associated 5 like 1"
"9069","84419","C15orf48","chromosome 15 open reading frame 48"
"9070","100126311","MIR147B","microRNA 147b"
"9071","105376714","LOC105376714","uncharacterized LOC105376714"
"9072","7782","SLC30A4","solute carrier family 30 member 4"
"9073","283651","HMGN2P46","high mobility group nucleosomal binding domain 2 pseudogene 46"
"9074","26258","BLOC1S6","biogenesis of lysosomal organelles complex 1 subunit 6"
"9075","58472","SQOR","sulfide quinone oxidoreductase"
"9076","80031","SEMA6D","semaphorin 6D"
"9077","101928442","LINC01491","long intergenic non-protein coding RNA 1491"
"9078","283652","SLC24A5","solute carrier family 24 member 5"
"9079","50804","MYEF2","myelin expression factor 2"
"9080","399697","CTXN2","cortexin 2"
"9081","6557","SLC12A1","solute carrier family 12 member 1"
"9082","1854","DUT","deoxyuridine triphosphatase"
"9083","2200","FBN1","fibrillin 1"
"9084","22995","CEP152","centrosomal protein 152"
"9085","399694","SHC4","SHC adaptor protein 4"
"9086","23741","EID1","EP300 interacting inhibitor of differentiation 1"
"9087","9728","SECISBP2L","SECIS binding protein 2 like"
"9088","9318","COPS2","COP9 signalosome subunit 2"
"9089","2585","GALK2","galactokinase 2"
"9090","100306975","NDUFAF4P1","NADH:ubiquinone oxidoreductase complex assembly factor 4 pseudogene 1"
"9091","100616332","MIR4716","microRNA 4716"
"9092","196951","FAM227B","family with sequence similarity 227 member B"
"9093","2252","FGF7","fibroblast growth factor 7"
"9094","56986","DTWD1","DTW domain containing 1"
"9095","79895","ATP8B4","ATPase phospholipid transporting 8B4 (putative)"
"9096","11001","SLC27A2","solute carrier family 27 member 2"
"9097","3067","HDC","histidine decarboxylase"
"9098","2553","GABPB1","GA binding protein transcription factor subunit beta 1"
"9099","55056","GABPB1-IT1","GABPB1 intronic transcript"
"9100","100129387","GABPB1-AS1","GABPB1 antisense RNA 1"
"9101","100616396","MIR4712","microRNA 4712"
"9102","9101","USP8","ubiquitin specific peptidase 8"
"9103","373509","USP50","ubiquitin specific peptidase 50"
"9104","54822","TRPM7","transient receptor potential cation channel subfamily M member 7"
"9105","84888","SPPL2A","signal peptide peptidase like 2A"
"9106","23431","AP4E1","adaptor related protein complex 4 subunit epsilon 1"
"9107","100132724","DCAF13P3","DDB1 and CUL4 associated factor 13 pseudogene 3"
"9108","388121","TNFAIP8L3","TNF alpha induced protein 8 like 3"
"9109","105370815",NA,NA
"9110","1588","CYP19A1","cytochrome P450 family 19 subfamily A member 1"
"9111","100616369","MIR4713","microRNA 4713"
"9112","102465855","MIR7973-2","microRNA 7973-2"
"9113","102466250","MIR7973-1","microRNA 7973-1"
"9114","342035","GLDN","gliomedin"
"9115","23312","DMXL2","Dmx like 2"
"9116","29106","SCG3","secretogranin III"
"9117","256586","LYSMD2","LysM domain containing 2"
"9118","29767","TMOD2","tropomodulin 2"
"9119","29766","TMOD3","tropomodulin 3"
"9120","100422556","LOC100422556","LEO1 homolog, Paf1/RNA polymerase II complex component pseudogene"
"9121","123169","LEO1","LEO1 homolog, Paf1/RNA polymerase II complex component"
"9122","5597","MAPK6","mitogen-activated protein kinase 6"
"9123","10017","BCL2L10","BCL2 like 10"
"9124","10681","GNB5","G protein subunit beta 5"
"9125","100129973","CERNA1","competing endogenous lncRNA 1 for miR-4707-5p and miR-4767"
"9126","55930","MYO5C","myosin VC"
"9127","100302202","MIR1266","microRNA 1266"
"9128","4644","MYO5A","myosin VA"
"9129","10776","ARPP19","cAMP regulated phosphoprotein 19"
"9130","56204","FAM214A","family with sequence similarity 214 member A"
"9131","3175","ONECUT1","one cut homeobox 1"
"9132","256764","WDR72","WD repeat domain 72"
"9133","105370828",NA,NA
"9134","440279","UNC13C","unc-13 homolog C"
"9135","51187","RSL24D1","ribosomal L24 domain containing 1"
"9136","5873","RAB27A","RAB27A, member RAS oncogene family"
"9137","9488","PIGB","phosphatidylinositol glycan anchor biosynthesis class B"
"9138","9236","CCPG1","cell cycle progression 1"
"9139","100533483","DNAAF4-CCPG1","DNAAF4-CCPG1 readthrough (NMD candidate)"
"9140","693213","MIR628","microRNA 628"
"9141","145788","C15orf65","chromosome 15 open reading frame 65"
"9142","161582","DNAAF4","dynein axonemal assembly factor 4"
"9143","26108","PYGO1","pygopus family PHD finger 1"
"9144","283659","PRTG","protogenin"
"9145","4734","NEDD4","NEDD4 E3 ubiquitin protein ligase"
"9146","64864","RFX7","regulatory factor X7"
"9147","374618","TEX9","testis expressed 9"
"9148","55329","MNS1","meiosis specific nuclear structural 1"
"9149","54816","ZNF280D","zinc finger protein 280D"
"9150","145783","LOC145783","uncharacterized LOC145783"
"9151","6938","TCF12","transcription factor 12"
"9152","283663","LINC00926","long intergenic non-protein coding RNA 926"
"9153","101928611","LINC01413","long intergenic non-protein coding RNA 1413"
"9154","84952","CGNL1","cingulin like 1"
"9155","145781","GCOM1","GRINL1A complex locus 1"
"9156","100820829","MYZAP","myocardial zonula adherens protein"
"9157","81488","POLR2M","RNA polymerase II subunit M"
"9158","8854","ALDH1A2","aldehyde dehydrogenase 1 family member A2"
"9159","366","AQP9","aquaporin 9"
"9160","101928635",NA,NA
"9161","3990","LIPC","lipase C, hepatic type"
"9162","101928694","LIPC-AS1","LIPC antisense RNA 1"
"9163","101928668",NA,NA
"9164","102","ADAM10","ADAM metallopeptidase domain 10"
"9165","664618","HSP90AB4P","heat shock protein 90 alpha family class B member 4, pseudogene"
"9166","54629","MINDY2","MINDY lysine 48 deubiquitinase 2"
"9167","79811","SLTM","SAFB like transcription modulator"
"9168","54778","RNF111","ring finger protein 111"
"9169","9133","CCNB2","cyclin B2"
"9170","4643","MYO1E","myosin IE"
"9171","100313886","MIR2116","microRNA 2116"
"9172","92483","LDHAL6B","lactate dehydrogenase A like 6B"
"9173","145773","FAM81A","family with sequence similarity 81 member A"
"9174","9245","GCNT3","glucosaminyl (N-acetyl) transferase 3, mucin type"
"9175","2958","GTF2A2","general transcription factor IIA subunit 2"
"9176","663","BNIP2","BCL2 interacting protein 2"
"9177","27023","FOXB1","forkhead box B1"
"9178","302","ANXA2","annexin A2"
"9179","79664","ICE2","interactor of little elongation complex ELL subunit 2"
"9180","101928784","RORA-AS1","RORA antisense RNA 1"
"9181","6095","RORA","RAR related orphan receptor A"
"9182","100996876","RORA-AS2","RORA antisense RNA 2"
"9183","101928850","LOC101928850","uncharacterized LOC101928850"
"9184","100506530","LINC02349","long intergenic non-protein coding RNA 2349"
"9185","54832","VPS13C","vacuolar protein sorting 13 homolog C"
"9186","145741","C2CD4A","C2 calcium dependent domain containing 4A"
"9187","388125","C2CD4B","C2 calcium dependent domain containing 4B"
"9188","105370849","LOC105370849","golgin subfamily A member 2-like"
"9189","102465869","MIR8067","microRNA 8067"
"9190","102464834","MIR6085","microRNA 6085"
"9191","83660","TLN2","talin 2"
"9192","197003","MGC15885","uncharacterized protein MGC15885"
"9193","406965","MIR190A","microRNA 190a"
"9194","7168","TPM1","tropomyosin 1"
"9195","114294","LACTB","lactamase beta"
"9196","51065","RPS27L","ribosomal protein S27 like"
"9197","51762","RAB8B","RAB8B, member RAS oncogene family"
"9198","83464","APH1B","aph-1 homolog B, gamma-secretase subunit"
"9199","771","CA12","carbonic anhydrase 12"
"9200","102723344","LINC02568","long intergenic non-protein coding RNA 2568"
"9201","9960","USP3","ubiquitin specific peptidase 3"
"9202","100130855","USP3-AS1","USP3 antisense RNA 1"
"9203","283807","FBXL22","F-box and leucine rich repeat protein 22"
"9204","8925","HERC1","HECT and RLD domain containing E3 ubiquitin protein ligase family member 1"
"9205","494334","MIR422A","microRNA 422a"
"9206","23604","DAPK2","death associated protein kinase 2"
"9207","101928988","LOC101928988","uncharacterized LOC101928988"
"9208","84191","CIAO2A","cytosolic iron-sulfur assembly component 2A"
"9209","6642","SNX1","sorting nexin 1"
"9210","79856","SNX22","sorting nexin 22"
"9211","5479","PPIB","peptidylprolyl isomerase B"
"9212","53944","CSNK1G1","casein kinase 1 gamma 1"
"9213","9768","PCLAF","PCNA clamp associated factor"
"9214","9325","TRIP4","thyroid hormone receptor interactor 4"
"9215","23060","ZNF609","zinc finger protein 609"
"9216","4947","OAZ2","ornithine decarboxylase antizyme 2"
"9217","348093","RBPMS2","RNA binding protein, mRNA processing factor 2"
"9218","100302184","MIR1272","microRNA 1272"
"9219","80119","PIF1","PIF1 5'-to-3' DNA helicase"
"9220","80301","PLEKHO2","pleckstrin homology domain containing O2"
"9221","348094","ANKDD1A","ankyrin repeat and death domain containing 1A"
"9222","51324","SPG21","SPG21 abhydrolase domain containing, maspardin"
"9223","123263","MTFMT","mitochondrial methionyl-tRNA formyltransferase"
"9224","123264","SLC51B","solute carrier family 51 beta subunit"
"9225","51285","RASL12","RAS like family 12"
"9226","390594","KBTBD13","kelch repeat and BTB domain containing 13"
"9227","390595","UBAP1L","ubiquitin associated protein 1 like"
"9228","10081","PDCD7","programmed cell death 7"
"9229","10845","CLPX","caseinolytic mitochondrial matrix peptidase chaperone subunit"
"9230","8483","CILP","cartilage intermediate layer protein"
"9231","54956","PARP16","poly(ADP-ribose) polymerase family member 16"
"9232","26831","RNU5A-1","RNA, U5A small nuclear 1"
"9233","26832","RNU5B-1","RNA, U5B small nuclear 1"
"9234","9543","IGDCC3","immunoglobulin superfamily DCC subclass member 3"
"9235","57722","IGDCC4","immunoglobulin superfamily DCC subclass member 4"
"9236","54878","DPP8","dipeptidyl peptidase 8"
"9237","51495","HACD3","3-hydroxyacyl-CoA dehydratase 3"
"9238","100873754","RNU6-19P","RNA, U6 small nuclear 19, pseudogene"
"9239","81556","INTS14","integrator complex subunit 14"
"9240","9187","SLC24A1","solute carrier family 24 member 1"
"9241","10260","DENND4A","DENN domain containing 4A"
"9242","100616379","MIR4511","microRNA 4511"
"9243","100189317","TRQ-CTG1-4","tRNA-Gln (anticodon CTG) 1-4"
"9244","8766","RAB11A","RAB11A, member RAS oncogene family"
